timestamp,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_vel,left_wrist_roll_vel,left_wrist_pitch_vel,left_wrist_yaw_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_vel,right_wrist_roll_vel,right_wrist_pitch_vel,right_wrist_yaw_vel,left_thumb_rot, left_thumb_prox, left_thumb_dist, left_middle_prox, left_middle_dist, left_index_prox, left_index_dist,right_thumb_rot, right_thumb_prox, right_thumb_dist, right_middle_prox, right_middle_dist, right_index_prox, right_index_dist
34.236000,0.119579,0.022938,1.062030,1.255300,-1.506681,0.065777,0.583473,0.051376,0.075141,-1.203408,1.321321,1.086574,-0.233679,0.149157,-0.001534,0.003068,0.007670,0.006136,-0.003068,0.001963,-0.004909,0.001534,0.007670,-0.007670,0.000000,-0.003068,0.003927,0.002945,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.238000,0.119603,0.022938,1.062042,1.255312,-1.506693,0.065785,0.583465,0.051364,0.075105,-1.203396,1.321321,1.086598,-0.233679,0.149157,0.010738,0.003068,0.007670,0.000000,-0.004602,-0.015708,-0.011781,-0.003068,-0.015340,0.001534,0.000000,0.006136,0.003927,0.001963,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.240000,0.119567,0.022914,1.062030,1.255300,-1.506693,0.065769,0.583473,0.051376,0.075141,-1.203384,1.321333,1.086574,-0.233687,0.149157,-0.006136,0.001534,0.006136,-0.006136,-0.004602,-0.007854,-0.004909,0.003068,0.010738,0.000000,0.010738,0.000000,-0.003927,0.000982,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.242000,0.119567,0.022902,1.062030,1.255300,-1.506693,0.065777,0.583465,0.051376,0.075141,-1.203396,1.321321,1.086574,-0.233687,0.149157,0.000000,-0.006136,0.006136,0.000000,-0.003068,0.003927,-0.014726,0.009204,0.000000,0.001534,0.009204,-0.003068,0.008836,0.000000,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.244000,0.119579,0.022914,1.062042,1.255300,-1.506693,0.065777,0.583480,0.051328,0.075129,-1.203396,1.321345,1.086574,-0.233687,0.149157,0.000000,-0.001534,0.012272,-0.009204,0.006136,0.003927,0.018653,-0.001534,-0.015340,0.000000,0.007670,-0.004602,0.000000,0.000000,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.246000,0.119591,0.022914,1.062018,1.255312,-1.506729,0.065769,0.583457,0.051328,0.075165,-1.203396,1.321321,1.086574,-0.233687,0.149157,0.000000,-0.003068,-0.007670,0.001534,0.012272,-0.007854,-0.010799,0.003068,0.000000,0.006136,0.006136,-0.006136,-0.004909,0.000000,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.248000,0.119591,0.022914,1.062018,1.255312,-1.506753,0.065769,0.583465,0.051352,0.075153,-1.203396,1.321321,1.086598,-0.233687,0.149157,0.006136,-0.001534,-0.010738,0.006136,-0.003068,-0.007854,0.000982,0.013806,-0.007670,0.000000,0.007670,0.000000,-0.002945,-0.003927,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.250000,0.119591,0.022914,1.062030,1.255300,-1.506741,0.065777,0.583465,0.051328,0.075165,-1.203396,1.321321,1.086598,-0.233679,0.149164,0.006136,-0.006136,0.004602,-0.001534,-0.006136,0.001963,0.000982,0.004602,-0.001534,0.004602,0.001534,0.001534,0.004909,0.006872,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.252000,0.119567,0.022914,1.062054,1.255300,-1.506693,0.065777,0.583465,0.051316,0.075153,-1.203432,1.321321,1.086598,-0.233687,0.149157,-0.009204,0.003068,0.007670,-0.026078,0.006136,0.001963,0.001963,0.006136,-0.003068,-0.003068,0.000000,0.000000,-0.008836,0.000000,-0.030351,0.669684,1.526246,-1.622567,-1.763255,-1.616487,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.254000,0.119591,0.022914,1.062030,1.255312,-1.506717,0.065777,0.583457,0.051328,0.075153,-1.203384,1.321309,1.086574,-0.233687,0.149157,0.003068,-0.001534,-0.003068,-0.012272,-0.003068,0.002945,-0.002945,0.009204,-0.010738,0.009204,-0.003068,-0.003068,-0.004909,0.001963,-0.030352,0.669684,1.526249,-1.622564,-1.763262,-1.616490,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.256000,0.119615,0.022914,1.062042,1.255312,-1.506717,0.065769,0.583457,0.051352,0.075141,-1.203396,1.321333,1.086610,-0.233679,0.149149,0.000000,-0.001534,0.007670,-0.007670,0.000000,-0.003927,0.014726,0.016874,0.001534,0.003068,0.010738,0.007670,-0.000982,-0.007854,-0.030352,0.669684,1.526249,-1.622564,-1.763262,-1.616490,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.258000,0.119603,0.022914,1.062066,1.255300,-1.506717,0.065769,0.583442,0.051328,0.075129,-1.203396,1.321321,1.086598,-0.233671,0.149157,-0.010738,-0.006136,0.000000,-0.003068,0.003068,-0.007854,-0.003927,0.004602,-0.001534,-0.003068,0.012272,0.003068,0.002945,0.001963,-0.030352,0.669684,1.526249,-1.622564,-1.763262,-1.616490,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
34.260000,0.119615,0.022914,1.062078,1.255300,-1.506717,0.065769,0.583442,0.051352,0.075153,-1.203420,1.321309,1.086598,-0.233679,0.149157,-0.003068,-0.001534,0.007670,-0.006136,0.007670,-0.004909,0.002945,0.004602,-0.003068,0.006136,-0.001534,0.006136,0.010799,0.002945,-0.030352,0.669684,1.526249,-1.622564,-1.763262,-1.616490,-1.786302,1.005019,-1.153502,0.211802,1.501644,1.686974,1.506809,1.724335
